Date,Line,Total Product Cost,Amt,Channel,Promotion,Margin,Type
12/30/2017,Premium,14231,1532769,Web,Late Day Discount,1364,Projected
12/30/2017,Standard,41152,16737,Email,Premier Plan Upsell,-765,Projected
12/30/2017,Corporate,5636,682065,Web,Late Day Discount,1137,Projected
11/30/2017,Premium,14231,701223,Web,Late Day Discount,1364,Projected
11/30/2017,Corporate,71152,116151,Email,Premier Plan Upsell,-765,Projected
11/30/2017,Corporate,5636,1329119,Web,Late Day Discount,1137,Projected
10/30/2017,Premium,14231,576041,Web,Late Day Discount,1364,Projected
10/30/2017,Corporate,81152,118171,Email,Premier Plan Upsell,-765,Projected
10/30/2017,Standard,5636,2417696,Web,Late Day Discount,1137,Projected
9/30/2017,Premium,14231,941709,Web,Late Day Discount,1364,Projected
9/30/2017,Corporate,41152,115216,Email,Premier Plan Upsell,-765,Projected
9/30/2017,Standard,5636,1496563,Web,Late Day Discount,1137,Projected
8/28/2017,Premium,14231,172248,Web,Late Day Discount,1364,Projected
8/28/2017,Standard,41152,616278,Email,Premier Plan Upsell,-765,Projected
8/28/2017,Corporate,5636,2439940,Web,Late Day Discount,1137,Projected
7/30/2017,Premium,14231,52418,Web,Late Day Discount,1364,Projected
7/30/2017,Standard,41152,124299,Email,Premier Plan Upsell,-765,Projected
7/30/2017,Corporate,5636,830219,Web,Late Day Discount,1137,Projected
6/30/2017,Premium,172525,171829,Email,Student Rebate,-696,Actual
6/30/2017,Standard,49519,49947,Direct,Premier Plan Upsell,428,Actual
6/30/2017,Corporate,346003,346653,Web,Student Rebate,650,Actual
6/30/2017,Premium,35527,37061,Web,Premier Plan Upsell,1534,Actual
6/30/2017,Standard,33897,35190,Web,Premier Plan Upsell,1293,Actual
6/30/2017,Corporate,427011,426858,Email,Late Day Discount,-153,Actual
5/30/2017,Premium,9134,10712,Direct,Late Day Discount,1578,Actual
5/30/2017,Standard,53655,55182,Direct,Late Day Discount,1527,Actual
5/30/2017,Corporate,126600,126527,Email,Student Rebate,-73,Actual
5/30/2017,Premium,50096,51407,Direct,Student Rebate,1311,Actual
5/30/2017,Standard,350745,351617,Direct,Late Day Discount,872,Actual
5/30/2017,Corporate,357344,358653,Web,Late Day Discount,1309,Actual
4/30/2017,Premium,26326,25558,Email,Student Rebate,-768,Actual
4/30/2017,Standard,15281,16883,Web,Premier Plan Upsell,1602,Actual
4/30/2017,Corporate,420403,419624,Email,Premier Plan Upsell,-779,Actual
4/30/2017,Premium,57278,58037,Email,Premier Plan Upsell,759,Actual
4/30/2017,Standard,413988,414734,Direct,Premier Plan Upsell,746,Actual
4/30/2017,Corporate,37132,38746,Web,Student Rebate,1614,Actual
3/30/2017,Premium,160524,161729,Direct,Late Day Discount,1205,Actual
3/30/2017,Standard,11792,13212,Direct,Late Day Discount,1420,Actual
3/30/2017,Corporate,426807,428497,Web,Premier Plan Upsell,1690,Actual
3/30/2017,Premium,44548,46030,Web,Premier Plan Upsell,1482,Actual
3/30/2017,Standard,230846,231415,Web,Premier Plan Upsell,569,Actual
3/30/2017,Corporate,352451,352694,Email,Premier Plan Upsell,243,Actual
2/28/2017,Premium,49302,49963,Web,Premier Plan Upsell,661,Actual
2/28/2017,Standard,31993,33423,Web,Student Rebate,1430,Actual
2/28/2017,Corporate,34344,35362,Web,Student Rebate,1018,Actual
2/28/2017,Premium,54532,55237,Email,Late Day Discount,705,Actual
2/28/2017,Standard,319393,319450,Email,Student Rebate,57,Actual
2/28/2017,Corporate,14549,16036,Web,Student Rebate,1487,Actual
1/31/2017,Premium,7129,8841,Web,Premier Plan Upsell,1712,Actual
1/31/2017,Standard,446374,446241,Email,Late Day Discount,-133,Actual
1/31/2017,Corporate,431162,431415,Email,Student Rebate,253,Actual
1/31/2017,Premium,239776,241516,Direct,Premier Plan Upsell,1740,Actual
1/31/2017,Standard,10085,11777,Direct,Premier Plan Upsell,1692,Actual
1/31/2017,Corporate,9459,10772,Direct,Late Day Discount,1313,Actual
12/30/2016,Premium,14231,515595,Web,Late Day Discount,1364,Actual
12/30/2016,Standard,41152,40387,Email,Premier Plan Upsell,-765,Actual
12/30/2016,Corporate,5636,6773,Web,Late Day Discount,1137,Actual
11/30/2016,Premium,160850,161526,Email,Student Rebate,676,Actual
11/30/2016,Standard,37721,39318,Web,Student Rebate,1597,Actual
11/30/2016,Corporate,453725,454432,Direct,Late Day Discount,707,Actual
10/30/2016,Premium,4632,5435,Direct,Premier Plan Upsell,803,Actual
10/30/2016,Standard,1030301,1031140,Email,Premier Plan Upsell,839,Actual
10/30/2016,Corporate,55675,54540,Email,Premier Plan Upsell,-1135,Actual
10/30/2016,Premium,25381,26502,Direct,Late Day Discount,1121,Actual
10/30/2016,Standard,31711,31801,Email,Premier Plan Upsell,90,Actual
10/30/2016,Corporate,418182,417592,Email,Late Day Discount,-590,Actual
9/30/2016,Premium,7267,8483,Web,Premier Plan Upsell,1216,Actual
9/30/2016,Standard,1238963,1239393,Web,Student Rebate,430,Actual
9/30/2016,Corporate,449077,448190,Email,Late Day Discount,-887,Actual
9/30/2016,Premium,8114,8581,Direct,Student Rebate,467,Actual
9/30/2016,Standard,455373,457015,Web,Late Day Discount,1642,Actual
9/30/2016,Corporate,42907,44233,Direct,Late Day Discount,1326,Actual
8/29/2016,Premium,6810,6388,Email,Student Rebate,-422,Actual
8/29/2016,Standard,412417,412321,Email,Premier Plan Upsell,-96,Actual
8/29/2016,Corporate,40825,40910,Direct,Premier Plan Upsell,85,Actual
8/29/2016,Premium,23381,24181,Direct,Premier Plan Upsell,800,Actual
8/29/2016,Standard,439150,439930,Web,Student Rebate,780,Actual
8/29/2016,Corporate,49378,50863,Direct,Student Rebate,1485,Actual
7/31/2016,Premium,8837,9719,Direct,Premier Plan Upsell,882,Actual
7/31/2016,Standard,59283,59460,Direct,Student Rebate,177,Actual
