,start_st,weekday,date,demand,type
0,7000,0,2017-07-17,133,Forecast
1,7000,0,2017-07-24,136,Forecast
2,7000,0,2017-07-31,86,Forecast
3,7000,0,2017-08-07,114,Forecast
4,7000,1,2017-07-11,207,Forecast
5,7000,1,2017-07-18,189,Forecast
6,7000,1,2017-07-25,197,Forecast
7,7000,1,2017-08-01,130,Forecast
8,7000,2,2017-07-12,197,Forecast
9,7000,2,2017-07-19,190,Forecast
10,7000,2,2017-07-26,221,Forecast
11,7000,2,2017-08-02,210,Forecast
12,7000,3,2017-07-13,220,Forecast
13,7000,3,2017-07-20,238,Forecast
14,7000,3,2017-07-27,196,Forecast
15,7000,3,2017-08-03,171,Forecast
16,7000,4,2017-07-14,216,Forecast
17,7000,4,2017-07-21,191,Forecast
18,7000,4,2017-07-28,179,Forecast
19,7000,4,2017-08-04,187,Forecast
20,7000,5,2017-07-15,189,Forecast
21,7000,5,2017-07-22,189,Forecast
22,7000,5,2017-07-29,208,Forecast
23,7000,5,2017-08-05,197,Forecast
24,7000,6,2017-07-16,120,Forecast
25,7000,6,2017-07-23,127,Forecast
26,7000,6,2017-07-30,111,Forecast
27,7000,6,2017-08-06,104,Forecast
28,7001,0,2017-07-17,63,Forecast
29,7001,0,2017-07-24,90,Forecast
30,7001,0,2017-07-31,86,Forecast
31,7001,0,2017-08-07,84,Forecast
32,7001,1,2017-07-11,84,Forecast
33,7001,1,2017-07-18,77,Forecast
34,7001,1,2017-07-25,73,Forecast
35,7001,1,2017-08-01,80,Forecast
36,7001,2,2017-07-12,79,Forecast
37,7001,2,2017-07-19,74,Forecast
38,7001,2,2017-07-26,79,Forecast
39,7001,2,2017-08-02,70,Forecast
40,7001,3,2017-07-13,81,Forecast
41,7001,3,2017-07-20,78,Forecast
42,7001,3,2017-07-27,80,Forecast
43,7001,3,2017-08-03,94,Forecast
44,7001,4,2017-07-14,80,Forecast
45,7001,4,2017-07-21,71,Forecast
46,7001,4,2017-07-28,86,Forecast
47,7001,4,2017-08-04,70,Forecast
48,7001,5,2017-07-15,87,Forecast
49,7001,5,2017-07-22,84,Forecast
50,7001,5,2017-07-29,89,Forecast
51,7001,5,2017-08-05,84,Forecast
52,7001,6,2017-07-16,71,Forecast
53,7001,6,2017-07-23,76,Forecast
54,7001,6,2017-07-30,63,Forecast
55,7001,6,2017-08-06,95,Forecast
56,7002,0,2017-07-17,242,Forecast
57,7002,0,2017-07-24,218,Forecast
58,7002,0,2017-07-31,224,Forecast
59,7002,0,2017-08-07,260,Forecast
60,7002,1,2017-07-11,209,Forecast
61,7002,1,2017-07-18,214,Forecast
62,7002,1,2017-07-25,227,Forecast
63,7002,1,2017-08-01,265,Forecast
64,7002,2,2017-07-12,257,Forecast
65,7002,2,2017-07-19,308,Forecast
66,7002,2,2017-07-26,254,Forecast
67,7002,2,2017-08-02,236,Forecast
68,7002,3,2017-07-13,265,Forecast
69,7002,3,2017-07-20,212,Forecast
70,7002,3,2017-07-27,233,Forecast
71,7002,3,2017-08-03,265,Forecast
72,7002,4,2017-07-14,194,Forecast
73,7002,4,2017-07-21,182,Forecast
74,7002,4,2017-07-28,220,Forecast
75,7002,4,2017-08-04,230,Forecast
76,7002,5,2017-07-15,186,Forecast
77,7002,5,2017-07-22,167,Forecast
78,7002,5,2017-07-29,136,Forecast
79,7002,5,2017-08-05,145,Forecast
80,7002,6,2017-07-16,113,Forecast
81,7002,6,2017-07-23,143,Forecast
82,7002,6,2017-07-30,164,Forecast
83,7002,6,2017-08-06,146,Forecast
84,7003,0,2017-07-17,143,Forecast
85,7003,0,2017-07-24,152,Forecast
86,7003,0,2017-07-31,132,Forecast
87,7003,0,2017-08-07,155,Forecast
88,7003,1,2017-07-11,182,Forecast
89,7003,1,2017-07-18,159,Forecast
90,7003,1,2017-07-25,143,Forecast
91,7003,1,2017-08-01,148,Forecast
92,7003,2,2017-07-12,162,Forecast
93,7003,2,2017-07-19,167,Forecast
94,7003,2,2017-07-26,181,Forecast
95,7003,2,2017-08-02,186,Forecast
96,7003,3,2017-07-13,190,Forecast
97,7003,3,2017-07-20,172,Forecast
98,7003,3,2017-07-27,194,Forecast
99,7003,3,2017-08-03,195,Forecast
100,7003,4,2017-07-14,196,Forecast
101,7003,4,2017-07-21,200,Forecast
102,7003,4,2017-07-28,194,Forecast
103,7003,4,2017-08-04,195,Forecast
104,7003,5,2017-07-15,163,Forecast
105,7003,5,2017-07-22,154,Forecast
106,7003,5,2017-07-29,120,Forecast
107,7003,5,2017-08-05,134,Forecast
108,7003,6,2017-07-16,130,Forecast
109,7003,6,2017-07-23,129,Forecast
110,7003,6,2017-07-30,156,Forecast
111,7003,6,2017-08-06,122,Forecast
112,7004,0,2017-07-17,48,Forecast
113,7004,0,2017-07-24,39,Forecast
114,7004,0,2017-07-31,48,Forecast
115,7004,0,2017-08-07,24,Forecast
116,7004,1,2017-07-11,141,Forecast
117,7004,1,2017-07-18,89,Forecast
118,7004,1,2017-07-25,100,Forecast
119,7004,1,2017-08-01,75,Forecast
120,7004,2,2017-07-12,100,Forecast
121,7004,2,2017-07-19,120,Forecast
122,7004,2,2017-07-26,104,Forecast
123,7004,2,2017-08-02,93,Forecast
124,7004,3,2017-07-13,107,Forecast
125,7004,3,2017-07-20,108,Forecast
126,7004,3,2017-07-27,114,Forecast
127,7004,3,2017-08-03,104,Forecast
128,7004,4,2017-07-14,113,Forecast
129,7004,4,2017-07-21,109,Forecast
130,7004,4,2017-07-28,114,Forecast
131,7004,4,2017-08-04,125,Forecast
132,7004,5,2017-07-15,94,Forecast
133,7004,5,2017-07-22,111,Forecast
134,7004,5,2017-07-29,97,Forecast
135,7004,5,2017-08-05,102,Forecast
136,7004,6,2017-07-16,57,Forecast
137,7004,6,2017-07-23,85,Forecast
138,7004,6,2017-07-30,67,Forecast
139,7004,6,2017-08-06,62,Forecast
140,7005,0,2017-07-17,149,Forecast
141,7005,0,2017-07-24,161,Forecast
142,7005,0,2017-07-31,141,Forecast
143,7005,0,2017-08-07,174,Forecast
144,7005,1,2017-07-11,209,Forecast
145,7005,1,2017-07-18,201,Forecast
146,7005,1,2017-07-25,173,Forecast
147,7005,1,2017-08-01,168,Forecast
148,7005,2,2017-07-12,197,Forecast
149,7005,2,2017-07-19,185,Forecast
150,7005,2,2017-07-26,212,Forecast
151,7005,2,2017-08-02,209,Forecast
152,7005,3,2017-07-13,187,Forecast
153,7005,3,2017-07-20,224,Forecast
154,7005,3,2017-07-27,183,Forecast
155,7005,3,2017-08-03,218,Forecast
156,7005,4,2017-07-14,201,Forecast
157,7005,4,2017-07-21,201,Forecast
158,7005,4,2017-07-28,217,Forecast
159,7005,4,2017-08-04,204,Forecast
160,7005,5,2017-07-15,212,Forecast
161,7005,5,2017-07-22,195,Forecast
162,7005,5,2017-07-29,155,Forecast
163,7005,5,2017-08-05,180,Forecast
164,7005,6,2017-07-16,134,Forecast
165,7005,6,2017-07-23,150,Forecast
166,7005,6,2017-07-30,140,Forecast
167,7005,6,2017-08-06,134,Forecast
168,7006,0,2017-07-17,114,Forecast
169,7006,0,2017-07-24,104,Forecast
170,7006,0,2017-07-31,101,Forecast
171,7006,0,2017-08-07,112,Forecast
172,7006,1,2017-07-11,100,Forecast
173,7006,1,2017-07-18,93,Forecast
174,7006,1,2017-07-25,94,Forecast
175,7006,1,2017-08-01,88,Forecast
176,7006,2,2017-07-12,104,Forecast
177,7006,2,2017-07-19,120,Forecast
178,7006,2,2017-07-26,125,Forecast
179,7006,2,2017-08-02,94,Forecast
180,7006,3,2017-07-13,101,Forecast
181,7006,3,2017-07-20,112,Forecast
182,7006,3,2017-07-27,125,Forecast
183,7006,3,2017-08-03,122,Forecast
184,7006,4,2017-07-14,147,Forecast
185,7006,4,2017-07-21,109,Forecast
186,7006,4,2017-07-28,134,Forecast
187,7006,4,2017-08-04,114,Forecast
188,7006,5,2017-07-15,107,Forecast
189,7006,5,2017-07-22,107,Forecast
190,7006,5,2017-07-29,117,Forecast
191,7006,5,2017-08-05,112,Forecast
192,7006,6,2017-07-16,119,Forecast
193,7006,6,2017-07-23,142,Forecast
194,7006,6,2017-07-30,107,Forecast
195,7006,6,2017-08-06,126,Forecast
196,7007,0,2017-07-17,61,Forecast
197,7007,0,2017-07-24,79,Forecast
198,7007,0,2017-07-31,78,Forecast
199,7007,0,2017-08-07,98,Forecast
200,7007,1,2017-07-11,76,Forecast
201,7007,1,2017-07-18,104,Forecast
202,7007,1,2017-07-25,88,Forecast
203,7007,1,2017-08-01,98,Forecast
204,7007,2,2017-07-12,105,Forecast
205,7007,2,2017-07-19,104,Forecast
