,start_st,weekday,date,demand,demand_int
0,72,0,4/3/2017,8.548127713,9
1,72,0,4/10/2017,8.465710491,8
2,72,0,4/17/2017,8.387319027,8
3,72,0,4/24/2017,8.309982974,8
4,72,1,4/4/2017,7.733243181,8
5,72,1,4/11/2017,8.30152437,8
6,72,1,4/18/2017,8.090863139,8
7,72,1,4/25/2017,7.86333241,8
8,72,2,4/5/2017,6.277421927,6
9,72,2,4/12/2017,6.222759336,6
10,72,2,4/19/2017,6.154148375,6
11,72,2,4/26/2017,6.08389564,6
12,72,3,4/6/2017,1.61107232,2
13,72,3,4/13/2017,1.430695537,1
14,72,3,4/20/2017,1.44822833,1
15,72,3,4/27/2017,1.453460796,1
16,72,4,4/7/2017,16.28996906,16
17,72,4,4/14/2017,16.22538,16
18,72,4,4/21/2017,16.16473046,16
19,72,4,4/28/2017,16.10436841,16
20,72,5,4/1/2017,3.411782476,3
21,72,5,4/8/2017,3.419870227,3
22,72,5,4/15/2017,3.375998174,3
23,72,5,4/22/2017,3.3401023,3
24,72,6,4/2/2017,4.647056714,5
25,72,6,4/9/2017,4.587196701,5
26,72,6,4/16/2017,4.540766263,5
27,72,6,4/23/2017,4.493443671,4
28,79,0,4/3/2017,12.3856815,12
29,79,0,4/10/2017,12.36250721,12
30,79,0,4/17/2017,12.24720924,12
31,79,0,4/24/2017,12.18421784,12
32,79,1,4/4/2017,10.14254088,10
33,79,1,4/11/2017,10.07755194,10
34,79,1,4/18/2017,10.01544057,10
35,79,1,4/25/2017,9.953649894,10
36,79,2,4/5/2017,5.883902559,6
37,79,2,4/12/2017,5.017285071,5
38,79,2,4/19/2017,5.144420531,5
39,79,2,4/26/2017,5.2297464,5
40,79,3,4/6/2017,4.267796346,4
41,79,3,4/13/2017,4.242102821,4
42,79,3,4/20/2017,4.18755396,4
43,79,3,4/27/2017,4.139642881,4
44,79,4,4/7/2017,19.38393204,19
45,79,4,4/14/2017,18.42220318,18
46,79,4,4/21/2017,18.59432154,19
47,79,4,4/28/2017,18.53376111,19
48,79,5,4/1/2017,7.996432797,8
49,79,5,4/8/2017,7.465730744,7
50,79,5,4/15/2017,7.969275654,8
51,79,5,4/22/2017,7.685804487,8
52,79,6,4/2/2017,12.82930153,13
53,79,6,4/9/2017,12.78571372,13
54,79,6,4/16/2017,12.74169992,13
55,79,6,4/23/2017,12.69784607,13
56,82,0,4/3/2017,3.820582732,4
57,82,0,4/10/2017,3.780536665,4
58,82,0,4/17/2017,3.748146048,4
59,82,0,4/24/2017,3.717824276,4
60,82,1,4/4/2017,2.445491625,2
61,82,1,4/11/2017,2.63561899,3
62,82,1,4/18/2017,2.500475704,3
63,82,1,4/25/2017,2.474015577,2
64,82,2,4/5/2017,5.289733675,5
65,82,2,4/12/2017,5.31522617,5
66,82,2,4/19/2017,5.266892545,5
67,82,2,4/26/2017,5.231488272,5
68,82,3,4/6/2017,4.546261586,5
69,82,3,4/13/2017,4.51456497,5
70,82,3,4/20/2017,4.479237967,4
71,82,3,4/27/2017,4.444672585,4
72,82,4,4/7/2017,8.349195325,8
73,82,4,4/14/2017,8.284520133,8
74,82,4,4/21/2017,8.258845681,8
75,82,4,4/28/2017,8.236271191,8
76,82,5,4/1/2017,2.224738162,2
77,82,5,4/8/2017,2.250004302,2
78,82,5,4/15/2017,2.263108416,2
79,82,5,4/22/2017,2.206185411,2
80,82,6,4/2/2017,5.128895085,5
81,82,6,4/9/2017,5.099994012,5
82,82,6,4/16/2017,5.079113494,5
83,82,6,4/23/2017,5.057202142,5
84,83,0,4/3/2017,5.322697822,5
85,83,0,4/10/2017,4.630702088,5
86,83,0,4/17/2017,5.294590773,5
87,83,0,4/24/2017,5.000047662,5
88,83,1,4/4/2017,1.685250624,2
89,83,1,4/11/2017,1.651284971,2
90,83,1,4/18/2017,1.636909837,2
91,83,1,4/25/2017,1.620166218,2
